T,Px,Py,Pz,Vx,Vy,Vz,Roll,Pitch,Yaw,R_rate,P_rate,Y_rate,T,M1,M2,M3,Wb1,Wb2,Wb3
1.144630432,-0.037221054,-0.042395435,0.215476383,0.001117491,-0.001999878,-0.010480534,-0.725458882,-0.051957852,0.82018724,0,0,0,0,0,0,0,0,0,0
1.155105829,-0.036222008,-0.041190253,0.209541332,-0.003516523,0.002420518,0.00888033,-0.705611535,-0.051424888,0.797713066,0,0,0,0,0,0,0,0,0,0
1.165549755,-0.036093059,-0.04092219,0.20862286,-0.005843149,0.004706828,0.019552054,-0.702794697,-0.053089517,0.794370964,0,0,0,0,0,0,0,0,0,0
1.175962925,-0.035970113,-0.040718165,0.207634992,-0.004340616,0.000864414,0.00015792,-0.700174326,-0.053415323,0.791054473,0,0,0,0,0,0,0,0,0,0
1.186378241,-0.036073442,-0.040790352,0.207828924,-0.004379558,-0.001103902,-0.012227708,-0.702047932,-0.053373542,0.7925994,0,0,0,0,0,0,0,0,0,0
1.196984529,-0.037375247,-0.042173363,0.214848743,-0.006649278,0.000691391,-0.007228521,-0.72738297,-0.055767961,0.820447913,0,0,0,0,0,0,0,0,0,0
1.207368374,-0.036034621,-0.040575192,0.20674582,-0.006104288,0.001261776,-0.002862574,-0.701324929,-0.054397653,0.790409109,0,0,0,0,0,0,0,0,0,0
1.217771053,-0.03620722,-0.040706008,0.207468011,-0.004531863,0.001172364,0.000204934,-0.704619993,-0.0551623,0.793709634,0,0,0,0,0,0,0,0,0,0
1.228454113,-0.03803147,-0.042689839,0.217681092,-0.004428716,0.001649917,0.002200118,-0.74003668,-0.058531938,0.833242723,0,0,0,0,0,0,0,0,0,0
1.238970041,-0.036954926,-0.041405927,0.211274277,-0.004608401,0.002049663,0.002756935,-0.719102086,-0.057626181,0.809265101,0,0,0,0,0,0,0,0,0,0
1.249287605,-0.035670253,-0.039952104,0.203729169,-0.001788575,-0.000811647,-0.008978225,-0.694140336,-0.05533844,0.780842492,0,0,0,0,0,0,0,0,0,0
1.259794235,-0.036860135,-0.041307001,0.210351221,-0.000104463,-0.002550672,-0.015970222,-0.717288044,-0.056239931,0.806626816,0,0,0,0,0,0,0,0,0,0
1.270334721,-0.037098143,-0.041557828,0.211550676,-0.001442796,-0.000484591,-0.006905394,-0.721917497,-0.056412218,0.811602298,0,0,0,0,0,0,0,0,0,0
1.281062126,-0.038261833,-0.042822554,0.218054191,-0.002064257,0.000920521,-0.000865155,-0.744614583,-0.05851776,0.836905805,0,0,0,0,0,0,0,0,0,0
1.291561365,-0.036720533,-0.041058575,0.209212317,-0.001538265,0.00134104,0.003298511,-0.714853914,-0.056857242,0.803221731,0,0,0,0,0,0,0,0,0,0
1.302043438,-0.03650272,-0.040846203,0.208022677,0.001882494,-0.001673574,-0.005677647,-0.711015778,-0.056366262,0.798700637,0,0,0,0,0,0,0,0,0,0
1.312716007,-0.037580159,-0.042176327,0.214259523,0.005835647,-0.00618418,-0.023818375,-0.732253293,-0.056147725,0.822527106,0,0,0,0,0,0,0,0,0,0
1.323254108,-0.036586354,-0.041218365,0.208663993,0.006967848,-0.007932427,-0.03274914,-0.712848064,-0.051856792,0.800884091,0,0,0,0,0,0,0,0,0,0
1.333848476,-0.036818192,-0.041591285,0.210023554,0.004939728,-0.005749421,-0.024347491,-0.717273809,-0.05009906,0.80601273,0,0,0,0,0,0,0,0,0,0
1.344750643,-0.038650374,-0.043675515,0.220467032,0.000772604,-0.001038945,-0.004897191,-0.75293255,-0.052259978,0.846142678,0,0,0,0,0,0,0,0,0,0
1.355315924,-0.036394006,-0.041074372,0.207550165,-0.002250188,0.002216458,0.008613748,-0.708930487,-0.050025387,0.796697129,0,0,0,0,0,0,0,0,0,0
1.365715027,-0.03530427,-0.039759649,0.201271494,-0.003800799,0.003876943,0.015735324,-0.68767435,-0.04995154,0.772765792,0,0,0,0,0,0,0,0,0,0
1.376310587,-0.036535454,-0.041106358,0.208248749,-0.001908694,0.001763895,0.007079008,-0.71163532,-0.052333999,0.799666143,0,0,0,0,0,0,0,0,0,0
1.38676405,-0.035625838,-0.040208543,0.203578177,0.008233985,-0.00258766,0.002403165,-0.694069312,-0.049875225,0.780622212,0,0,0,0,0,0,0,0,0,0
1.39789629,-0.039662864,-0.045086044,0.22812173,0.02260377,-0.005506851,0.015398229,-0.773206244,-0.052972558,0.871554988,0,0,0,0,0,0,0,0,0,0
1.408498049,-0.036028506,-0.041190087,0.208409328,0.018036866,-0.003200443,0.019448145,-0.702759423,-0.046503507,0.793688743,0,0,0,0,0,0,0,0,0,0
1.418964148,-0.035037055,-0.040097637,0.203099583,0.005895006,0.001075313,0.019141739,-0.683566474,-0.045437972,0.772553155,0,0,0,0,0,0,0,0,0,0
1.429516792,-0.035570539,-0.040654472,0.206231883,-0.000188784,0.002974767,0.018160774,-0.693848678,-0.047189561,0.784279474,0,0,0,0,0,0,0,0,0,0
1.439917088,-0.034793194,-0.039628144,0.201552967,-0.005034896,0.005601824,0.024622137,-0.676943826,-0.047316887,0.766047753,0,0,0,0,0,0,0,0,0,0
1.450301409,-0.034973932,-0.039611964,0.20218899,-0.010742241,0.007409271,0.032886358,-0.674582128,-0.047793641,0.766466423,0,0,0,0,0,0,0,0,0,0
1.460977554,-0.037004609,-0.041805815,0.213974614,-0.004766586,0.003690612,0.039028848,-0.705160491,-0.049178257,0.806420483,0,0,0,0,0,0,0,0,0,0
1.47134304,-0.035159245,-0.039790698,0.204065045,0.00611388,0.00014076,0.039249127,-0.663275551,-0.04448216,0.76373114,0,0,0,0,0,0,0,0,0,0
1.481820345,-0.035962046,-0.040690593,0.209171796,0.000952228,0.002659777,0.034333776,-0.673419767,-0.044018811,0.779432846,0,0,0,0,0,0,0,0,0,0
1.492323637,-0.036345916,-0.040938173,0.211151547,-0.01027326,0.007505304,0.029763981,-0.678542472,-0.045984188,0.786536844,0,0,0,0,0,0,0,0,0,0
1.502836704,-0.03664398,-0.040995494,0.212310363,-0.015472176,0.010693229,0.027978687,-0.685600865,-0.050748672,0.793018976,0,0,0,0,0,0,0,0,0,0
1.513564825,-0.038200263,-0.04241334,0.220578048,-0.018038775,0.012326776,0.025172541,-0.718465677,-0.058931951,0.827552492,0,0,0,0,0,0,0,0,0,0
1.524189711,-0.037637162,-0.041478213,0.216563675,-0.017331439,0.011795809,0.020188995,-0.712556754,-0.064349838,0.816618121,0,0,0,0,0,0,0,0,0,0
1.534622669,-0.036472863,-0.039925692,0.209172489,-0.015050844,0.010137095,0.015143947,-0.695241064,-0.068142661,0.792726851,0,0,0,0,0,0,0,0,0,0
1.545440674,-0.038957817,-0.042423475,0.222851173,-0.012383176,0.008443614,0.011819069,-0.74725978,-0.078026832,0.848223026,0,0,0,0,0,0,0,0,0,0
1.555959702,-0.036994316,-0.040151332,0.211294535,-0.007405427,0.005346497,0.007682665,-0.713291528,-0.077866358,0.806811633,0,0,0,0,0,0,0,0,0,0
1.566532612,-0.037282974,-0.040370639,0.212711611,-0.005247412,0.003770232,0.004877494,-0.721864589,-0.081360995,0.814219673,0,0,0,0,0,0,0,0,0,0
1.577150583,-0.037551425,-0.040580526,0.214015763,-0.004654023,0.003022509,0.002633398,-0.729462687,-0.084222111,0.820896245,0,0,0,0,0,0,0,0,0,0
1.587630987,-0.036682927,-0.039580866,0.208872731,-0.003633673,0.002133161,0.000780178,-0.7143464,-0.083898392,0.802464367,0,0,0,0,0,0,0,0,0,0
1.598372221,-0.03835477,-0.041339315,0.218230467,-0.002797566,0.00146829,-0.000503634,-0.748192719,-0.08887573,0.839418992,0,0,0,0,0,0,0,0,0,0
1.609140873,-0.038499072,-0.041458424,0.218818106,-0.00309352,0.000216741,-0.004994948,-0.750278909,-0.088745491,0.841960735,0,0,0,0,0,0,0,0,0,0
